Designator,Mid X,Mid Y,Rotation,Layer
DA0,95.25,-48.895,0.0,top
DA1,95.25,-59.055,0.0,top
DA2,95.25,-69.215,0.0,top
DA3,95.25,-79.375,0.0,top
DB0,95.25,-51.435,0.0,top
DB1,95.25,-61.595,0.0,top
DB2,95.25,-71.755,0.0,top
DB3,95.25,-81.915,0.0,top
DC0,116.84,-55.245,0.0,top
DC1,116.84,-65.405,0.0,top
DC2,116.84,-75.565,0.0,top
DC3,116.84,-85.725,0.0,top
DR0,138.43,-48.895,180.0,top
DR1,138.43,-59.055,180.0,top
DR2,138.43,-69.215,180.0,top
DR3,138.43,-79.375,180.0,top
DS0,138.43,-51.435,180.0,top
DS1,138.43,-61.595,180.0,top
DS2,138.43,-71.755,180.0,top
DS3,138.43,-81.915,180.0,top
JE01,148.59,-67.31,0.0,top
JN1,116.84,-43.18,90.0,top
JS1,116.84,-93.98,90.0,top
JW01,85.725,-67.31,0.0,top
RA0,92.71,-48.895,180.0,top
RA1,92.71,-59.055,180.0,top
RA2,92.71,-69.215,180.0,top
RA3,92.71,-79.375,180.0,top
RB0,92.71,-51.435,180.0,top
RB1,92.71,-61.595,180.0,top
RB2,92.71,-71.755,180.0,top
RB3,92.71,-81.915,180.0,top
RC0,114.3,-55.245,180.0,top
RC1,114.3,-65.405,180.0,top
RC2,114.3,-75.565,180.0,top
RC3,114.3,-85.725,180.0,top
RR0,140.97,-48.895,0.0,top
RR1,140.97,-59.055,0.0,top
RR2,140.97,-69.215,0.0,top
RR3,140.97,-79.375,0.0,top
RS0,140.97,-51.435,0.0,top
RS1,140.97,-61.595,0.0,top
RS2,140.97,-71.755,0.0,top
RS3,140.97,-81.915,0.0,top
U01,101.6,-50.8,270.0,top
U02,111.76,-50.83,270.0,top
U03,121.92,-50.8,270.0,top
U04,132.08,-50.8,270.0,top
U11,101.6,-60.96,270.0,top
U12,111.76,-60.96,270.0,top
U13,121.92,-60.96,270.0,top
U14,132.08,-60.96,270.0,top
U21,101.6,-71.12,270.0,top
U22,111.76,-71.12,270.0,top
U23,121.92,-71.12,270.0,top
U24,132.08,-71.12,270.0,top
U31,101.6,-81.28,270.0,top
U32,111.76,-81.28,270.0,top
U33,121.92,-81.28,270.0,top
U34,132.08,-81.28,270.0,top
