Designator,Mid X,Mid Y,Rotation,Layer
C1,61.0,-5.5,180.0,top
C2,56.5,-31.0,90.0,top
C3,56.5,-69.0,90.0,top
C4,61.0,-94.5,180.0,top
J1,60.1,-50.0,90.0,top
J2,60.73,-2.5,270.0,top
J3,60.73,-97.5,270.0,top
SH1.DECAP0_L.C,6.525,-92.0,90.0,top
SH1.DECAP0_M.C,32.525,-92.0,90.0,top
SH1.DECAP0_R.C,49.525,-92.0,90.0,top
SH1.DECAP10_L.C,6.525,-52.0,90.0,top
SH1.DECAP10_M.C,32.525,-52.0,90.0,top
SH1.DECAP10_R.C,49.525,-52.0,90.0,top
SH1.DECAP11_L.C,6.525,-48.0,270.0,top
SH1.DECAP11_M.C,23.525,-48.0,270.0,top
SH1.DECAP11_R.C,49.525,-48.0,270.0,top
SH1.DECAP12_L.C,6.525,-44.0,90.0,top
SH1.DECAP12_M.C,32.525,-44.0,90.0,top
SH1.DECAP12_R.C,49.525,-44.0,90.0,top
SH1.DECAP13_L.C,6.525,-40.0,270.0,top
SH1.DECAP13_M.C,23.525,-40.0,270.0,top
SH1.DECAP13_R.C,49.525,-40.0,270.0,top
SH1.DECAP14_L.C,6.525,-36.0,90.0,top
SH1.DECAP14_M.C,32.525,-36.0,90.0,top
SH1.DECAP14_R.C,49.525,-36.0,90.0,top
SH1.DECAP15_L.C,6.525,-32.0,270.0,top
SH1.DECAP15_M.C,23.525,-32.0,270.0,top
SH1.DECAP15_R.C,49.525,-32.0,270.0,top
SH1.DECAP16_L.C,6.525,-28.0,90.0,top
SH1.DECAP16_M.C,32.525,-28.0,90.0,top
SH1.DECAP16_R.C,49.525,-28.0,90.0,top
SH1.DECAP17_L.C,6.525,-24.0,270.0,top
SH1.DECAP17_M.C,23.525,-24.0,270.0,top
SH1.DECAP17_R.C,49.525,-24.0,270.0,top
SH1.DECAP18_L.C,6.525,-20.0,90.0,top
SH1.DECAP18_M.C,32.525,-20.0,90.0,top
SH1.DECAP18_R.C,49.525,-20.0,90.0,top
SH1.DECAP19_L.C,6.525,-16.0,270.0,top
SH1.DECAP19_M.C,23.525,-16.0,270.0,top
SH1.DECAP19_R.C,49.525,-16.0,270.0,top
SH1.DECAP1_L.C,6.525,-88.0,270.0,top
SH1.DECAP1_M.C,23.525,-88.0,270.0,top
SH1.DECAP1_R.C,49.525,-88.0,270.0,top
SH1.DECAP20_L.C,6.525,-12.0,90.0,top
SH1.DECAP20_M.C,32.525,-12.0,90.0,top
SH1.DECAP20_R.C,49.525,-12.0,90.0,top
SH1.DECAP21_L.C,6.525,-8.0,270.0,top
SH1.DECAP21_M.C,23.525,-8.0,270.0,top
SH1.DECAP21_R.C,49.525,-8.0,270.0,top
SH1.DECAP2_L.C,6.525,-84.0,90.0,top
SH1.DECAP2_M.C,32.525,-84.0,90.0,top
SH1.DECAP2_R.C,49.525,-84.0,90.0,top
SH1.DECAP3_L.C,6.525,-80.0,270.0,top
SH1.DECAP3_M.C,23.525,-80.0,270.0,top
SH1.DECAP3_R.C,49.525,-80.0,270.0,top
SH1.DECAP4_L.C,6.525,-76.0,90.0,top
SH1.DECAP4_M.C,32.525,-76.0,90.0,top
SH1.DECAP4_R.C,49.525,-76.0,90.0,top
SH1.DECAP5_L.C,6.525,-72.0,270.0,top
SH1.DECAP5_M.C,23.525,-72.0,270.0,top
SH1.DECAP5_R.C,49.525,-72.0,270.0,top
SH1.DECAP6_L.C,6.525,-68.0,90.0,top
SH1.DECAP6_M.C,32.525,-68.0,90.0,top
SH1.DECAP6_R.C,49.525,-68.0,90.0,top
SH1.DECAP7_L.C,6.525,-64.0,270.0,top
SH1.DECAP7_M.C,23.525,-64.0,270.0,top
SH1.DECAP7_R.C,49.525,-64.0,270.0,top
SH1.DECAP8_L.C,6.525,-60.0,90.0,top
SH1.DECAP8_M.C,32.525,-60.0,90.0,top
SH1.DECAP8_R.C,49.525,-60.0,90.0,top
SH1.DECAP9_L.C,6.525,-56.0,270.0,top
SH1.DECAP9_M.C,23.525,-56.0,270.0,top
SH1.DECAP9_R.C,49.525,-56.0,270.0,top
SH1._185_.N1,34.0,-55.0,180.0,top
SH1._185_.N2,36.0,-55.0,180.0,top
SH1._185_.N3,38.0,-55.0,180.0,top
SH1._185_.N4,40.0,-55.0,180.0,top
SH1._185_.P1,34.0,-57.0,0.0,top
SH1._185_.P2,36.0,-57.0,0.0,top
SH1._185_.P3,38.0,-57.0,0.0,top
SH1._185_.P4,40.0,-57.0,0.0,top
SH1._186_.N1,42.0,-53.0,0.0,top
SH1._186_.N2,44.0,-53.0,0.0,top
SH1._186_.N3,46.0,-53.0,0.0,top
SH1._186_.N4,48.0,-53.0,0.0,top
SH1._186_.P1,42.0,-51.0,180.0,top
SH1._186_.P2,44.0,-51.0,180.0,top
SH1._186_.P3,46.0,-51.0,180.0,top
SH1._186_.P4,48.0,-51.0,180.0,top
SH1._187_.N1,30.0,-39.0,180.0,top
SH1._187_.N2,32.0,-39.0,180.0,top
SH1._187_.N3,34.0,-39.0,180.0,top
SH1._187_.N4,36.0,-39.0,180.0,top
SH1._187_.P1,30.0,-41.0,0.0,top
SH1._187_.P2,32.0,-41.0,0.0,top
SH1._187_.P3,34.0,-41.0,0.0,top
SH1._187_.P4,36.0,-41.0,0.0,top
SH1._188_.N1,26.0,-55.0,180.0,top
SH1._188_.N2,28.0,-55.0,180.0,top
SH1._188_.N3,30.0,-55.0,180.0,top
SH1._188_.N4,32.0,-55.0,180.0,top
SH1._188_.P1,26.0,-57.0,0.0,top
SH1._188_.P2,28.0,-57.0,0.0,top
SH1._188_.P3,30.0,-57.0,0.0,top
SH1._188_.P4,32.0,-57.0,0.0,top
SH1._189_.N1,34.0,-53.0,0.0,top
SH1._189_.N2,36.0,-53.0,0.0,top
