ref,x,y
sh1._185_,33,54
sh1._186_,41,50
sh1._187_,29,38
sh1._188_,25,54
sh1._189_,33,50
sh1._190_,33,34
sh1._191_,33,42
sh1._192_,41,54
sh1._193_,41,42
sh1._194_,37,38
sh1._195_,24,34
sh1._196_,25,30
sh1._197_,40,46
sh1._198_,32,46
sh1._199_,16,34
sh1._200_,41,30
sh1._201_,7,30
sh1._202_,7,26
sh1._203_,8,42
sh1._204_,7,54
sh1._205_,15,54
sh1._206_,24,58
sh1._207_,7,62
sh1._208_,7,66
sh1._209_,24,62
sh1._210_,15,62
sh1._211_,41,34
sh1._212_,8,58
sh1._213_,16,42
sh1._214_,7,46
sh1._215_,8,34
sh1._216_,24,42
sh1._217_,12,82
sh1._218_,29,74
sh1._219_,47,18
sh1._220_,41,6
sh1._221_,8,18
sh1._222_,7,22
sh1._223_,7,38
sh1._224_,8,50
sh1._225_,16,58
sh1._226_,15,66
sh1._227_,11,74
sh1._228_,7,70
sh1._229_,7,78
sh1._230_,15,78
sh1._231_,37,18
sh1._232_,23,82
sh1._233_,15,82
sh1._234_,15,86
sh1._235_,24,86
sh1._236_,32,86
sh1._237_,33,74
sh1._238_,33,70
sh1._239_,33,66
sh1._240_,24,66
sh1._241_,32,62
sh1._242_,33,26
sh1._243_,33,58
sh1._244_,41,58
sh1._245_,33,22
sh1._246_,25,22
sh1._247_,24,10
sh1._248_,16,10
sh1._249_,24,14
sh1._250_,15,14
sh1._251_,15,26
sh1._252_,41,14
sh1._253_,15,22
sh1._254_,15,30
sh1._255_,15,38
sh1._256_,15,46
sh1._257_,24,46
sh1._258_,16,50
sh1._259_,24,50
sh1._260_,15,70
sh1._261_,21,74
sh1._262_,25,70
sh1._263_,41,26
sh1._264_,33,78
sh1._265_,25,78
sh1._266_,33,90
sh1._267_,33,82
sh1._268_,41,90
sh1._269_,41,82
sh1._270_,41,86
sh1._271_,41,78
sh1._272_,41,74
sh1._273_,41,66
sh1._274_,41,10
sh1._275_,41,70
sh1._276_,41,62
sh1._277_,41,22
sh1._278_,33,30
sh1._279_,33,10
sh1._280_,24,18
sh1._281_,32,14
sh1._282_,16,18
sh1._283_,24,26
sh1.decap0_L,6,90
sh1.decap0_M,32,90
sh1.decap0_R,49,90
sh1.decap10_L,6,50
sh1.decap10_M,32,50
sh1.decap10_R,49,50
sh1.decap11_L,6,46
sh1.decap11_M,23,46
sh1.decap11_R,49,46
sh1.decap12_L,6,42
sh1.decap12_M,32,42
sh1.decap12_R,49,42
sh1.decap13_L,6,38
sh1.decap13_M,23,38
sh1.decap13_R,49,38
sh1.decap14_L,6,34
sh1.decap14_M,32,34
sh1.decap14_R,49,34
sh1.decap15_L,6,30
sh1.decap15_M,23,30
sh1.decap15_R,49,30
sh1.decap16_L,6,26
sh1.decap16_M,32,26
sh1.decap16_R,49,26
sh1.decap17_L,6,22
sh1.decap17_M,23,22
sh1.decap17_R,49,22
sh1.decap18_L,6,18
sh1.decap18_M,32,18
sh1.decap18_R,49,18
sh1.decap19_L,6,14
sh1.decap19_M,23,14
sh1.decap19_R,49,14
sh1.decap1_L,6,86
sh1.decap1_M,23,86
sh1.decap1_R,49,86
sh1.decap20_L,6,10
sh1.decap20_M,32,10
sh1.decap20_R,49,10
sh1.decap21_L,6,6
sh1.decap21_M,23,6
sh1.decap21_R,49,6
sh1.decap2_L,6,82
sh1.decap2_M,32,82
sh1.decap2_R,49,82
sh1.decap3_L,6,78
sh1.decap3_M,23,78
sh1.decap3_R,49,78
sh1.decap4_L,6,74
sh1.decap4_M,32,74
sh1.decap4_R,49,74
sh1.decap5_L,6,70
sh1.decap5_M,23,70
sh1.decap5_R,49,70
sh1.decap6_L,6,66
sh1.decap6_M,32,66
sh1.decap6_R,49,66
sh1.decap7_L,6,62
sh1.decap7_M,23,62
sh1.decap7_R,49,62
sh1.decap8_L,6,58
sh1.decap8_M,32,58
sh1.decap8_R,49,58
sh1.decap9_L,6,54
sh1.decap9_M,23,54
sh1.decap9_R,49,54
