2025-11-12 00:38:18.626 INFO   Freerouting v2.1.0 (build-date: 2025-04-12)
2025-11-12 00:38:18.693 WARN   No default constructor found for field: currentLocale
2025-11-12 00:38:18.695 INFO   Settings were loaded from freerouting.json
2025-11-12 00:38:19.791 INFO   Opening 'shifter1_board.dsn'...
2025-11-12 00:38:20.324 INFO   New version available: v2.1.0
2025-11-12 00:38:25.957 INFO   Opening 'shifter1_board.rules'...
2025-11-12 00:39:08.533 INFO   [C10A1C\2FF213] Starting routing of 'shifter1_board' on 1 thread...
2025-11-12 00:40:10.723 INFO   [C10A1C\2FF213] Auto-router pass #1 on board '9d8ee63119b7f062571fa1f8c65fad2e' was completed in 56.25 seconds with the score of 925.70 (78 unrouted).
2025-11-12 00:40:29.419 INFO   [C10A1C\2FF213] Auto-router pass #2 on board 'de2b383b12232367090e52d1019de5c7' was completed in 18.52 seconds with the score of 956.27 (39 unrouted).
2025-11-12 00:40:40.832 INFO   [C10A1C\2FF213] Auto-router pass #3 on board 'b701eaf98b4470904c8a9192aa5f0494' was completed in 11.28 seconds with the score of 966.40 (25 unrouted).
2025-11-12 00:40:59.090 INFO   [C10A1C\2FF213] Auto-router pass #4 on board 'b733b23b4e9cec60d23efa77d2e9b6f1' was completed in 18.10 seconds with the score of 972.95 (16 unrouted).
2025-11-12 00:41:04.444 INFO   [C10A1C\2FF213] Auto-router pass #5 on board '51cf501b8fea0e1c976a466c63d17dc8' was completed in 5.22 seconds with the score of 974.43 (14 unrouted).
2025-11-12 00:41:08.726 INFO   [C10A1C\2FF213] Auto-router pass #6 on board '9b7ef20dabb6047b0a441e0de2c970a8' was completed in 4.17 seconds with the score of 975.70 (12 unrouted).
2025-11-12 00:41:12.039 INFO   [C10A1C\2FF213] Auto-router pass #7 on board 'a862c0a12870f3838be89837dc694ba8' was completed in 3.21 seconds with the score of 976.19 (11 unrouted).
2025-11-12 00:41:18.324 INFO   [C10A1C\2FF213] Auto-router pass #8 on board '35b4ca5696a1d21eea391f7f2a1083da' was completed in 6.18 seconds with the score of 978.32 (8 unrouted).
2025-11-12 00:41:20.799 INFO   [C10A1C\2FF213] Auto-router pass #9 on board '24c5c2b9872f6399e2b1a551b870a516' was completed in 2.33 seconds with the score of 980.75 (5 unrouted).
2025-11-12 00:41:22.768 INFO   [C10A1C\2FF213] Auto-router pass #10 on board 'fe1eb2042f201c1f0d7991503302517b' was completed in 1.78 seconds with the score of 981.61 (4 unrouted).
2025-11-12 00:41:23.482 INFO   [C10A1C\2FF213] Auto-router pass #11 on board '8334db577086264b403fe97b4dbae8c1' was completed in 0.59 seconds with the score of 981.61 (4 unrouted).
2025-11-12 00:41:24.434 INFO   [C10A1C\2FF213] Auto-router pass #12 on board '8334db577086264b403fe97b4dbae8c1' was completed in 0.90 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:25.274 INFO   [C10A1C\2FF213] Auto-router pass #13 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.61 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:25.889 INFO   [C10A1C\2FF213] Auto-router pass #14 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.56 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:26.496 INFO   [C10A1C\2FF213] Auto-router pass #15 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.56 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:27.401 INFO   [C10A1C\2FF213] Restoring an earlier board that has the score of 982.37 (3 unrouted).
2025-11-12 00:41:27.403 INFO   [C10A1C\2FF213] Auto-router pass #16 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.86 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:28.107 INFO   [C10A1C\2FF213] Auto-router pass #17 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.64 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:28.723 INFO   [C10A1C\2FF213] Auto-router pass #18 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.57 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:29.355 INFO   [C10A1C\2FF213] Auto-router pass #19 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.58 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:30.280 INFO   [C10A1C\2FF213] Restoring an earlier board that has the score of 982.37 (3 unrouted).
2025-11-12 00:41:30.281 INFO   [C10A1C\2FF213] Auto-router pass #20 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.87 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:30.988 INFO   [C10A1C\2FF213] Auto-router pass #21 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.65 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:31.609 INFO   [C10A1C\2FF213] Auto-router pass #22 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.56 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:32.243 INFO   [C10A1C\2FF213] Auto-router pass #23 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.57 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:33.073 INFO   [C10A1C\2FF213] Restoring an earlier board that has the score of 982.37 (3 unrouted).
2025-11-12 00:41:33.074 INFO   [C10A1C\2FF213] Auto-router pass #24 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.78 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:33.728 INFO   [C10A1C\2FF213] Auto-router pass #25 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.59 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:34.371 INFO   [C10A1C\2FF213] Auto-router pass #26 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.59 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:34.945 INFO   [C10A1C\2FF213] Auto-router pass #27 on board 'cd911ccfe45d716d939dcf3bc6588b67' was completed in 0.52 seconds with the score of 982.37 (3 unrouted).
2025-11-12 00:41:35.719 INFO   [C10A1C\2FF213] Restoring an earlier board that has the score of 982.37 (3 unrouted).
