Comment,Designator,Footprint,LCSC,Quantity
0.1u,"DECAP_1.C,DECAP_10.C,DECAP_11.C,DECAP_13.C,DECAP_14.C,DECAP_15.C,DECAP_16.C,DECAP_17.C,DECAP_18.C,DECAP_2.C,DECAP_3.C,DECAP_4.C,DECAP_5.C,DECAP_6.C,DECAP_7.C,DECAP_8.C,DECAP_LED_12.DECAP.C,DECAP_LED_19.DECAP.C,genblk2[0].genblk1[0].D.DECAP.C,genblk2[0].genblk1[1].D.DECAP.C,genblk2[0].genblk1[2].D.DECAP.C,genblk2[0].genblk1[3].D.DECAP.C,genblk2[1].genblk1[0].D.DECAP.C,genblk2[1].genblk1[1].D.DECAP.C,genblk2[1].genblk1[2].D.DECAP.C,genblk2[1].genblk1[3].D.DECAP.C,genblk2[2].genblk1[0].D.DECAP.C,genblk2[2].genblk1[1].D.DECAP.C,genblk2[2].genblk1[2].D.DECAP.C,genblk2[2].genblk1[3].D.DECAP.C,genblk2[3].genblk1[0].D.DECAP.C,genblk2[3].genblk1[1].D.DECAP.C,genblk2[3].genblk1[2].D.DECAP.C,genblk2[3].genblk1[3].D.DECAP.C",C_0402_1005Metric,C1525,34
,"DECAP1,DECAP2,DECAP3,DECAP4",C_0402_1005Metric,C15525,4
,"DECAP_LED_12.L,DECAP_LED_19.L,genblk2[0].genblk1[0].D.L,genblk2[0].genblk1[1].D.L,genblk2[0].genblk1[2].D.L,genblk2[0].genblk1[3].D.L,genblk2[1].genblk1[0].D.L,genblk2[1].genblk1[1].D.L,genblk2[1].genblk1[2].D.L,genblk2[1].genblk1[3].D.L,genblk2[2].genblk1[0].D.L,genblk2[2].genblk1[1].D.L,genblk2[2].genblk1[2].D.L,genblk2[2].genblk1[3].D.L,genblk2[3].genblk1[0].D.L,genblk2[3].genblk1[1].D.L,genblk2[3].genblk1[2].D.L,genblk2[3].genblk1[3].D.L",LED_0402_1005Metric,C22355736,18
330,"DECAP_LED_12.R,DECAP_LED_19.R,genblk2[0].genblk1[0].D.R,genblk2[0].genblk1[1].D.R,genblk2[0].genblk1[2].D.R,genblk2[0].genblk1[3].D.R,genblk2[1].genblk1[0].D.R,genblk2[1].genblk1[1].D.R,genblk2[1].genblk1[2].D.R,genblk2[1].genblk1[3].D.R,genblk2[2].genblk1[0].D.R,genblk2[2].genblk1[1].D.R,genblk2[2].genblk1[2].D.R,genblk2[2].genblk1[3].D.R,genblk2[3].genblk1[0].D.R,genblk2[3].genblk1[1].D.R,genblk2[3].genblk1[2].D.R,genblk2[3].genblk1[3].D.R",R_0402_1005Metric,C25105,18
PMOS,"AOI211_1.P1,AOI211_1.P2,AOI211_1.P3,AOI211_1.P4,AOI21_1.P1,AOI21_1.P2,AOI21_1.P3,AOI22_1.P1,AOI22_1.P2,AOI22_1.P3,AOI22_1.P4,NAND2_1.P1,NAND2_1.P2,NAND2_2.P1,NAND2_2.P2,NAND2_3.P1,NAND2_3.P2,NAND2_4.P1,NAND2_4.P2,NAND3_1.P1,NAND3_1.P2,NAND3_1.P3,NAND3_2.P1,NAND3_2.P2,NAND3_2.P3,NAND4_1.P1,NAND4_1.P2,NAND4_1.P3,NAND4_1.P4,NOR2_1.P1,NOR2_1.P2,NOR2_2.P1,NOR2_2.P2,NOR2_3.P1,NOR2_3.P2,NOR2_4.P1,NOR2_4.P2,NOR3_1.P1,NOR3_1.P2,NOR3_1.P3,NOR3_2.P1,NOR3_2.P2,NOR3_2.P3,NOR4_1.P1,NOR4_1.P2,NOR4_1.P3,NOR4_1.P4,NOT_1.P1,NOT_2.P1,NOT_3.P1,NOT_4.P1,OAI211_1.P1,OAI211_1.P2,OAI211_1.P3,OAI211_1.P4,OAI21_1.P1,OAI21_1.P2,OAI21_1.P3,OAI22_1.P1,OAI22_1.P2,OAI22_1.P3,OAI22_1.P4,TINV_1.P1,TINV_1.P2,TINV_2.P1,TINV_2.P2,TINV_3.P1,TINV_3.P2,TINV_4.P1,TINV_4.P2,genblk1[10].P,genblk1[11].P,genblk1[12].P,genblk1[13].P,genblk1[14].P,genblk1[15].P,genblk1[16].P,genblk1[1].P,genblk1[2].P,genblk1[3].P,genblk1[4].P,genblk1[5].P,genblk1[6].P,genblk1[7].P,genblk1[8].P,genblk1[9].P,genblk2[0].genblk1[0].L.NOT1.P1,genblk2[0].genblk1[0].L.NOT1.P2,genblk2[0].genblk1[0].L.NOT2.P1,genblk2[0].genblk1[0].L.NOT3.P1,genblk2[0].genblk1[0].L.NOT3.P2,genblk2[0].genblk1[0].R1.P1,genblk2[0].genblk1[0].R1.P2,genblk2[0].genblk1[0].R2.P1,genblk2[0].genblk1[0].R2.P2,genblk2[0].genblk1[1].L.NOT1.P1,genblk2[0].genblk1[1].L.NOT1.P2,genblk2[0].genblk1[1].L.NOT2.P1,genblk2[0].genblk1[1].L.NOT3.P1,genblk2[0].genblk1[1].L.NOT3.P2,genblk2[0].genblk1[1].R1.P1,genblk2[0].genblk1[1].R1.P2,genblk2[0].genblk1[1].R2.P1,genblk2[0].genblk1[1].R2.P2,genblk2[0].genblk1[2].L.NOT1.P1,genblk2[0].genblk1[2].L.NOT1.P2,genblk2[0].genblk1[2].L.NOT2.P1,genblk2[0].genblk1[2].L.NOT3.P1,genblk2[0].genblk1[2].L.NOT3.P2,genblk2[0].genblk1[2].R1.P1,genblk2[0].genblk1[2].R1.P2,genblk2[0].genblk1[2].R2.P1,genblk2[0].genblk1[2].R2.P2,genblk2[0].genblk1[3].L.NOT1.P1,genblk2[0].genblk1[3].L.NOT1.P2,genblk2[0].genblk1[3].L.NOT2.P1,genblk2[0].genblk1[3].L.NOT3.P1,genblk2[0].genblk1[3].L.NOT3.P2,genblk2[0].genblk1[3].R1.P1,genblk2[0].genblk1[3].R1.P2,genblk2[0].genblk1[3].R2.P1,genblk2[0].genblk1[3].R2.P2,genblk2[1].genblk1[0].L.NOT1.P1,genblk2[1].genblk1[0].L.NOT1.P2,genblk2[1].genblk1[0].L.NOT2.P1,genblk2[1].genblk1[0].L.NOT3.P1,genblk2[1].genblk1[0].L.NOT3.P2,genblk2[1].genblk1[0].R1.P1,genblk2[1].genblk1[0].R1.P2,genblk2[1].genblk1[0].R2.P1,genblk2[1].genblk1[0].R2.P2,genblk2[1].genblk1[1].L.NOT1.P1,genblk2[1].genblk1[1].L.NOT1.P2,genblk2[1].genblk1[1].L.NOT2.P1,genblk2[1].genblk1[1].L.NOT3.P1,genblk2[1].genblk1[1].L.NOT3.P2,genblk2[1].genblk1[1].R1.P1,genblk2[1].genblk1[1].R1.P2,genblk2[1].genblk1[1].R2.P1,genblk2[1].genblk1[1].R2.P2,genblk2[1].genblk1[2].L.NOT1.P1,genblk2[1].genblk1[2].L.NOT1.P2,genblk2[1].genblk1[2].L.NOT2.P1,genblk2[1].genblk1[2].L.NOT3.P1,genblk2[1].genblk1[2].L.NOT3.P2,genblk2[1].genblk1[2].R1.P1,genblk2[1].genblk1[2].R1.P2,genblk2[1].genblk1[2].R2.P1,genblk2[1].genblk1[2].R2.P2,genblk2[1].genblk1[3].L.NOT1.P1,genblk2[1].genblk1[3].L.NOT1.P2,genblk2[1].genblk1[3].L.NOT2.P1,genblk2[1].genblk1[3].L.NOT3.P1,genblk2[1].genblk1[3].L.NOT3.P2,genblk2[1].genblk1[3].R1.P1,genblk2[1].genblk1[3].R1.P2,genblk2[1].genblk1[3].R2.P1,genblk2[1].genblk1[3].R2.P2,genblk2[2].genblk1[0].L.NOT1.P1,genblk2[2].genblk1[0].L.NOT1.P2,genblk2[2].genblk1[0].L.NOT2.P1,genblk2[2].genblk1[0].L.NOT3.P1,genblk2[2].genblk1[0].L.NOT3.P2,genblk2[2].genblk1[0].R1.P1,genblk2[2].genblk1[0].R1.P2,genblk2[2].genblk1[0].R2.P1,genblk2[2].genblk1[0].R2.P2,genblk2[2].genblk1[1].L.NOT1.P1,genblk2[2].genblk1[1].L.NOT1.P2,genblk2[2].genblk1[1].L.NOT2.P1,genblk2[2].genblk1[1].L.NOT3.P1,genblk2[2].genblk1[1].L.NOT3.P2,genblk2[2].genblk1[1].R1.P1,genblk2[2].genblk1[1].R1.P2,genblk2[2].genblk1[1].R2.P1,genblk2[2].genblk1[1].R2.P2,genblk2[2].genblk1[2].L.NOT1.P1,genblk2[2].genblk1[2].L.NOT1.P2,genblk2[2].genblk1[2].L.NOT2.P1,genblk2[2].genblk1[2].L.NOT3.P1,genblk2[2].genblk1[2].L.NOT3.P2,genblk2[2].genblk1[2].R1.P1,genblk2[2].genblk1[2].R1.P2,genblk2[2].genblk1[2].R2.P1,genblk2[2].genblk1[2].R2.P2,genblk2[2].genblk1[3].L.NOT1.P1,genblk2[2].genblk1[3].L.NOT1.P2,genblk2[2].genblk1[3].L.NOT2.P1,genblk2[2].genblk1[3].L.NOT3.P1,genblk2[2].genblk1[3].L.NOT3.P2,genblk2[2].genblk1[3].R1.P1,genblk2[2].genblk1[3].R1.P2,genblk2[2].genblk1[3].R2.P1,genblk2[2].genblk1[3].R2.P2,genblk2[3].genblk1[0].L.NOT1.P1,genblk2[3].genblk1[0].L.NOT1.P2,genblk2[3].genblk1[0].L.NOT2.P1,genblk2[3].genblk1[0].L.NOT3.P1,genblk2[3].genblk1[0].L.NOT3.P2,genblk2[3].genblk1[0].R1.P1,genblk2[3].genblk1[0].R1.P2,genblk2[3].genblk1[0].R2.P1,genblk2[3].genblk1[0].R2.P2,genblk2[3].genblk1[1].L.NOT1.P1,genblk2[3].genblk1[1].L.NOT1.P2,genblk2[3].genblk1[1].L.NOT2.P1,genblk2[3].genblk1[1].L.NOT3.P1,genblk2[3].genblk1[1].L.NOT3.P2,genblk2[3].genblk1[1].R1.P1,genblk2[3].genblk1[1].R1.P2,genblk2[3].genblk1[1].R2.P1,genblk2[3].genblk1[1].R2.P2,genblk2[3].genblk1[2].L.NOT1.P1,genblk2[3].genblk1[2].L.NOT1.P2,genblk2[3].genblk1[2].L.NOT2.P1,genblk2[3].genblk1[2].L.NOT3.P1,genblk2[3].genblk1[2].L.NOT3.P2,genblk2[3].genblk1[2].R1.P1,genblk2[3].genblk1[2].R1.P2,genblk2[3].genblk1[2].R2.P1,genblk2[3].genblk1[2].R2.P2,genblk2[3].genblk1[3].L.NOT1.P1,genblk2[3].genblk1[3].L.NOT1.P2,genblk2[3].genblk1[3].L.NOT2.P1,genblk2[3].genblk1[3].L.NOT3.P1,genblk2[3].genblk1[3].L.NOT3.P2,genblk2[3].genblk1[3].R1.P1,genblk2[3].genblk1[3].R1.P2,genblk2[3].genblk1[3].R2.P1,genblk2[3].genblk1[3].R2.P2",SOT523,C41355141,230
NMOS,"AOI211_1.N1,AOI211_1.N2,AOI211_1.N3,AOI211_1.N4,AOI21_1.N1,AOI21_1.N2,AOI21_1.N3,AOI22_1.N1,AOI22_1.N2,AOI22_1.N3,AOI22_1.N4,NAND2_1.N1,NAND2_1.N2,NAND2_2.N1,NAND2_2.N2,NAND2_3.N1,NAND2_3.N2,NAND2_4.N1,NAND2_4.N2,NAND3_1.N1,NAND3_1.N2,NAND3_1.N3,NAND3_2.N1,NAND3_2.N2,NAND3_2.N3,NAND4_1.N1,NAND4_1.N2,NAND4_1.N3,NAND4_1.N4,NOR2_1.N1,NOR2_1.N2,NOR2_2.N1,NOR2_2.N2,NOR2_3.N1,NOR2_3.N2,NOR2_4.N1,NOR2_4.N2,NOR3_1.N1,NOR3_1.N2,NOR3_1.N3,NOR3_2.N1,NOR3_2.N2,NOR3_2.N3,NOR4_1.N1,NOR4_1.N2,NOR4_1.N3,NOR4_1.N4,NOT_1.N1,NOT_2.N1,NOT_3.N1,NOT_4.N1,OAI211_1.N1,OAI211_1.N2,OAI211_1.N3,OAI211_1.N4,OAI21_1.N1,OAI21_1.N2,OAI21_1.N3,OAI22_1.N1,OAI22_1.N2,OAI22_1.N3,OAI22_1.N4,TINV_1.N1,TINV_1.N2,TINV_2.N1,TINV_2.N2,TINV_3.N1,TINV_3.N2,TINV_4.N1,TINV_4.N2,genblk1[10].N,genblk1[11].N,genblk1[12].N,genblk1[13].N,genblk1[14].N,genblk1[15].N,genblk1[16].N,genblk1[1].N,genblk1[2].N,genblk1[3].N,genblk1[4].N,genblk1[5].N,genblk1[6].N,genblk1[7].N,genblk1[8].N,genblk1[9].N,genblk2[0].genblk1[0].L.NOT1.N1,genblk2[0].genblk1[0].L.NOT1.N2,genblk2[0].genblk1[0].L.NOT2.N1,genblk2[0].genblk1[0].L.NOT3.N1,genblk2[0].genblk1[0].L.NOT3.N2,genblk2[0].genblk1[0].R1.N1,genblk2[0].genblk1[0].R1.N2,genblk2[0].genblk1[0].R2.N1,genblk2[0].genblk1[0].R2.N2,genblk2[0].genblk1[1].L.NOT1.N1,genblk2[0].genblk1[1].L.NOT1.N2,genblk2[0].genblk1[1].L.NOT2.N1,genblk2[0].genblk1[1].L.NOT3.N1,genblk2[0].genblk1[1].L.NOT3.N2,genblk2[0].genblk1[1].R1.N1,genblk2[0].genblk1[1].R1.N2,genblk2[0].genblk1[1].R2.N1,genblk2[0].genblk1[1].R2.N2,genblk2[0].genblk1[2].L.NOT1.N1,genblk2[0].genblk1[2].L.NOT1.N2,genblk2[0].genblk1[2].L.NOT2.N1,genblk2[0].genblk1[2].L.NOT3.N1,genblk2[0].genblk1[2].L.NOT3.N2,genblk2[0].genblk1[2].R1.N1,genblk2[0].genblk1[2].R1.N2,genblk2[0].genblk1[2].R2.N1,genblk2[0].genblk1[2].R2.N2,genblk2[0].genblk1[3].L.NOT1.N1,genblk2[0].genblk1[3].L.NOT1.N2,genblk2[0].genblk1[3].L.NOT2.N1,genblk2[0].genblk1[3].L.NOT3.N1,genblk2[0].genblk1[3].L.NOT3.N2,genblk2[0].genblk1[3].R1.N1,genblk2[0].genblk1[3].R1.N2,genblk2[0].genblk1[3].R2.N1,genblk2[0].genblk1[3].R2.N2,genblk2[1].genblk1[0].L.NOT1.N1,genblk2[1].genblk1[0].L.NOT1.N2,genblk2[1].genblk1[0].L.NOT2.N1,genblk2[1].genblk1[0].L.NOT3.N1,genblk2[1].genblk1[0].L.NOT3.N2,genblk2[1].genblk1[0].R1.N1,genblk2[1].genblk1[0].R1.N2,genblk2[1].genblk1[0].R2.N1,genblk2[1].genblk1[0].R2.N2,genblk2[1].genblk1[1].L.NOT1.N1,genblk2[1].genblk1[1].L.NOT1.N2,genblk2[1].genblk1[1].L.NOT2.N1,genblk2[1].genblk1[1].L.NOT3.N1,genblk2[1].genblk1[1].L.NOT3.N2,genblk2[1].genblk1[1].R1.N1,genblk2[1].genblk1[1].R1.N2,genblk2[1].genblk1[1].R2.N1,genblk2[1].genblk1[1].R2.N2,genblk2[1].genblk1[2].L.NOT1.N1,genblk2[1].genblk1[2].L.NOT1.N2,genblk2[1].genblk1[2].L.NOT2.N1,genblk2[1].genblk1[2].L.NOT3.N1,genblk2[1].genblk1[2].L.NOT3.N2,genblk2[1].genblk1[2].R1.N1,genblk2[1].genblk1[2].R1.N2,genblk2[1].genblk1[2].R2.N1,genblk2[1].genblk1[2].R2.N2,genblk2[1].genblk1[3].L.NOT1.N1,genblk2[1].genblk1[3].L.NOT1.N2,genblk2[1].genblk1[3].L.NOT2.N1,genblk2[1].genblk1[3].L.NOT3.N1,genblk2[1].genblk1[3].L.NOT3.N2,genblk2[1].genblk1[3].R1.N1,genblk2[1].genblk1[3].R1.N2,genblk2[1].genblk1[3].R2.N1,genblk2[1].genblk1[3].R2.N2,genblk2[2].genblk1[0].L.NOT1.N1,genblk2[2].genblk1[0].L.NOT1.N2,genblk2[2].genblk1[0].L.NOT2.N1,genblk2[2].genblk1[0].L.NOT3.N1,genblk2[2].genblk1[0].L.NOT3.N2,genblk2[2].genblk1[0].R1.N1,genblk2[2].genblk1[0].R1.N2,genblk2[2].genblk1[0].R2.N1,genblk2[2].genblk1[0].R2.N2,genblk2[2].genblk1[1].L.NOT1.N1,genblk2[2].genblk1[1].L.NOT1.N2,genblk2[2].genblk1[1].L.NOT2.N1,genblk2[2].genblk1[1].L.NOT3.N1,genblk2[2].genblk1[1].L.NOT3.N2,genblk2[2].genblk1[1].R1.N1,genblk2[2].genblk1[1].R1.N2,genblk2[2].genblk1[1].R2.N1,genblk2[2].genblk1[1].R2.N2,genblk2[2].genblk1[2].L.NOT1.N1,genblk2[2].genblk1[2].L.NOT1.N2,genblk2[2].genblk1[2].L.NOT2.N1,genblk2[2].genblk1[2].L.NOT3.N1,genblk2[2].genblk1[2].L.NOT3.N2,genblk2[2].genblk1[2].R1.N1,genblk2[2].genblk1[2].R1.N2,genblk2[2].genblk1[2].R2.N1,genblk2[2].genblk1[2].R2.N2,genblk2[2].genblk1[3].L.NOT1.N1,genblk2[2].genblk1[3].L.NOT1.N2,genblk2[2].genblk1[3].L.NOT2.N1,genblk2[2].genblk1[3].L.NOT3.N1,genblk2[2].genblk1[3].L.NOT3.N2,genblk2[2].genblk1[3].R1.N1,genblk2[2].genblk1[3].R1.N2,genblk2[2].genblk1[3].R2.N1,genblk2[2].genblk1[3].R2.N2,genblk2[3].genblk1[0].L.NOT1.N1,genblk2[3].genblk1[0].L.NOT1.N2,genblk2[3].genblk1[0].L.NOT2.N1,genblk2[3].genblk1[0].L.NOT3.N1,genblk2[3].genblk1[0].L.NOT3.N2,genblk2[3].genblk1[0].R1.N1,genblk2[3].genblk1[0].R1.N2,genblk2[3].genblk1[0].R2.N1,genblk2[3].genblk1[0].R2.N2,genblk2[3].genblk1[1].L.NOT1.N1,genblk2[3].genblk1[1].L.NOT1.N2,genblk2[3].genblk1[1].L.NOT2.N1,genblk2[3].genblk1[1].L.NOT3.N1,genblk2[3].genblk1[1].L.NOT3.N2,genblk2[3].genblk1[1].R1.N1,genblk2[3].genblk1[1].R1.N2,genblk2[3].genblk1[1].R2.N1,genblk2[3].genblk1[1].R2.N2,genblk2[3].genblk1[2].L.NOT1.N1,genblk2[3].genblk1[2].L.NOT1.N2,genblk2[3].genblk1[2].L.NOT2.N1,genblk2[3].genblk1[2].L.NOT3.N1,genblk2[3].genblk1[2].L.NOT3.N2,genblk2[3].genblk1[2].R1.N1,genblk2[3].genblk1[2].R1.N2,genblk2[3].genblk1[2].R2.N1,genblk2[3].genblk1[2].R2.N2,genblk2[3].genblk1[3].L.NOT1.N1,genblk2[3].genblk1[3].L.NOT1.N2,genblk2[3].genblk1[3].L.NOT2.N1,genblk2[3].genblk1[3].L.NOT3.N1,genblk2[3].genblk1[3].L.NOT3.N2,genblk2[3].genblk1[3].R1.N1,genblk2[3].genblk1[3].R1.N2,genblk2[3].genblk1[3].R2.N1,genblk2[3].genblk1[3].R2.N2",SOT523,C7507460,230
,JN0,PinHeader_1x16_P2.54mm_Vertical,,1
,J2,PinHeader_2x32_P2.54mm_Vertical,,1
,JSupply2,PinHeader_1x02_P2.54mm_Vertical,,1
,J1,PinHeader_2x32_P2.54mm_Vertical,,1
