Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AOI211_1.N1,NMOS,SOT523,63.0,-57.0,180.0,top
AOI211_1.N2,NMOS,SOT523,65.0,-57.0,180.0,top
AOI211_1.N3,NMOS,SOT523,67.0,-57.0,180.0,top
AOI211_1.N4,NMOS,SOT523,69.0,-57.0,180.0,top
AOI211_1.P1,PMOS,SOT523,63.0,-59.0,0.0,top
AOI211_1.P2,PMOS,SOT523,65.0,-59.0,0.0,top
AOI211_1.P3,PMOS,SOT523,67.0,-59.0,0.0,top
AOI211_1.P4,PMOS,SOT523,69.0,-59.0,0.0,top
AOI21_1.N1,NMOS,SOT523,31.0,-57.0,180.0,top
AOI21_1.N2,NMOS,SOT523,33.0,-57.0,180.0,top
AOI21_1.N3,NMOS,SOT523,35.0,-57.0,180.0,top
AOI21_1.P1,PMOS,SOT523,31.0,-59.0,0.0,top
AOI21_1.P2,PMOS,SOT523,33.0,-59.0,0.0,top
AOI21_1.P3,PMOS,SOT523,35.0,-59.0,0.0,top
AOI22_1.N1,NMOS,SOT523,45.0,-57.0,180.0,top
AOI22_1.N2,NMOS,SOT523,47.0,-57.0,180.0,top
AOI22_1.N3,NMOS,SOT523,49.0,-57.0,180.0,top
AOI22_1.N4,NMOS,SOT523,51.0,-57.0,180.0,top
AOI22_1.P1,PMOS,SOT523,45.0,-59.0,0.0,top
AOI22_1.P2,PMOS,SOT523,47.0,-59.0,0.0,top
AOI22_1.P3,PMOS,SOT523,49.0,-59.0,0.0,top
AOI22_1.P4,PMOS,SOT523,51.0,-59.0,0.0,top
DECAP1,,C_0402_1005Metric,8.0,-11.27,90.0,top
DECAP2,,C_0402_1005Metric,92.0,-11.27,90.0,top
DECAP3,,C_0402_1005Metric,8.0,-91.27,-90.0,top
DECAP4,,C_0402_1005Metric,92.0,-91.27,-90.0,top
DECAP_1.C,0.1u,C_0402_1005Metric,10.525,-40.0,90.0,top
DECAP_10.C,0.1u,C_0402_1005Metric,10.525,-58.0,-90.0,top
DECAP_11.C,0.1u,C_0402_1005Metric,19.525,-58.0,-90.0,top
DECAP_13.C,0.1u,C_0402_1005Metric,36.525,-58.0,-90.0,top
DECAP_14.C,0.1u,C_0402_1005Metric,43.525,-58.0,-90.0,top
DECAP_15.C,0.1u,C_0402_1005Metric,52.525,-58.0,-90.0,top
DECAP_16.C,0.1u,C_0402_1005Metric,61.525,-58.0,-90.0,top
DECAP_17.C,0.1u,C_0402_1005Metric,70.525,-58.0,-90.0,top
DECAP_18.C,0.1u,C_0402_1005Metric,79.525,-58.0,-90.0,top
DECAP_2.C,0.1u,C_0402_1005Metric,19.525,-40.0,90.0,top
DECAP_3.C,0.1u,C_0402_1005Metric,28.525,-40.0,90.0,top
DECAP_4.C,0.1u,C_0402_1005Metric,37.525,-40.0,90.0,top
DECAP_5.C,0.1u,C_0402_1005Metric,46.525,-40.0,90.0,top
DECAP_6.C,0.1u,C_0402_1005Metric,55.525,-40.0,90.0,top
DECAP_7.C,0.1u,C_0402_1005Metric,68.525,-40.0,90.0,top
DECAP_8.C,0.1u,C_0402_1005Metric,81.525,-40.0,90.0,top
DECAP_LED_12.DECAP.C,0.1u,C_0402_1005Metric,29.55,-58.0,90.0,top
DECAP_LED_12.L,,LED_0402_1005Metric,28.65,-57.0,90.0,top
DECAP_LED_12.R,330,R_0402_1005Metric,28.65,-59.0,-90.0,top
DECAP_LED_19.DECAP.C,0.1u,C_0402_1005Metric,89.55,-58.0,90.0,top
DECAP_LED_19.L,,LED_0402_1005Metric,88.65,-57.0,90.0,top
DECAP_LED_19.R,330,R_0402_1005Metric,88.65,-59.0,-90.0,top
NAND2_1.N1,NMOS,SOT523,21.0,-41.0,0.0,top
NAND2_1.N2,NMOS,SOT523,23.0,-41.0,0.0,top
NAND2_1.P1,PMOS,SOT523,21.0,-39.0,180.0,top
NAND2_1.P2,PMOS,SOT523,23.0,-39.0,180.0,top
NAND2_2.N1,NMOS,SOT523,25.0,-41.0,0.0,top
NAND2_2.N2,NMOS,SOT523,27.0,-41.0,0.0,top
NAND2_2.P1,PMOS,SOT523,25.0,-39.0,180.0,top
NAND2_2.P2,PMOS,SOT523,27.0,-39.0,180.0,top
NAND2_3.N1,NMOS,SOT523,30.0,-41.0,0.0,top
NAND2_3.N2,NMOS,SOT523,32.0,-41.0,0.0,top
NAND2_3.P1,PMOS,SOT523,30.0,-39.0,180.0,top
NAND2_3.P2,PMOS,SOT523,32.0,-39.0,180.0,top
NAND2_4.N1,NMOS,SOT523,34.0,-41.0,0.0,top
NAND2_4.N2,NMOS,SOT523,36.0,-41.0,0.0,top
NAND2_4.P1,PMOS,SOT523,34.0,-39.0,180.0,top
NAND2_4.P2,PMOS,SOT523,36.0,-39.0,180.0,top
NAND3_1.N1,NMOS,SOT523,57.0,-41.0,0.0,top
NAND3_1.N2,NMOS,SOT523,59.0,-41.0,0.0,top
NAND3_1.N3,NMOS,SOT523,61.0,-41.0,0.0,top
NAND3_1.P1,PMOS,SOT523,57.0,-39.0,180.0,top
NAND3_1.P2,PMOS,SOT523,59.0,-39.0,180.0,top
NAND3_1.P3,PMOS,SOT523,61.0,-39.0,180.0,top
NAND3_2.N1,NMOS,SOT523,63.0,-41.0,0.0,top
NAND3_2.N2,NMOS,SOT523,65.0,-41.0,0.0,top
NAND3_2.N3,NMOS,SOT523,67.0,-41.0,0.0,top
NAND3_2.P1,PMOS,SOT523,63.0,-39.0,180.0,top
NAND3_2.P2,PMOS,SOT523,65.0,-39.0,180.0,top
NAND3_2.P3,PMOS,SOT523,67.0,-39.0,180.0,top
NAND4_1.N1,NMOS,SOT523,83.0,-41.0,0.0,top
NAND4_1.N2,NMOS,SOT523,85.0,-41.0,0.0,top
NAND4_1.N3,NMOS,SOT523,87.0,-41.0,0.0,top
NAND4_1.N4,NMOS,SOT523,89.0,-41.0,0.0,top
NAND4_1.P1,PMOS,SOT523,83.0,-39.0,180.0,top
NAND4_1.P2,PMOS,SOT523,85.0,-39.0,180.0,top
NAND4_1.P3,PMOS,SOT523,87.0,-39.0,180.0,top
