Designator,Mid X,Mid Y,Rotation,Layer
AOI211_1.N1,63.0,-57.0,180.0,top
AOI211_1.N2,65.0,-57.0,180.0,top
AOI211_1.N3,67.0,-57.0,180.0,top
AOI211_1.N4,69.0,-57.0,180.0,top
AOI211_1.P1,63.0,-59.0,0.0,top
AOI211_1.P2,65.0,-59.0,0.0,top
AOI211_1.P3,67.0,-59.0,0.0,top
AOI211_1.P4,69.0,-59.0,0.0,top
AOI21_1.N1,31.0,-57.0,180.0,top
AOI21_1.N2,33.0,-57.0,180.0,top
AOI21_1.N3,35.0,-57.0,180.0,top
AOI21_1.P1,31.0,-59.0,0.0,top
AOI21_1.P2,33.0,-59.0,0.0,top
AOI21_1.P3,35.0,-59.0,0.0,top
AOI22_1.N1,45.0,-57.0,180.0,top
AOI22_1.N2,47.0,-57.0,180.0,top
AOI22_1.N3,49.0,-57.0,180.0,top
AOI22_1.N4,51.0,-57.0,180.0,top
AOI22_1.P1,45.0,-59.0,0.0,top
AOI22_1.P2,47.0,-59.0,0.0,top
AOI22_1.P3,49.0,-59.0,0.0,top
AOI22_1.P4,51.0,-59.0,0.0,top
DECAP1,8.0,-11.27,90.0,top
DECAP2,92.0,-11.27,90.0,top
DECAP3,8.0,-91.27,270.0,top
DECAP4,92.0,-91.27,270.0,top
DECAP_1.C,10.525,-40.0,90.0,top
DECAP_10.C,10.525,-58.0,270.0,top
DECAP_11.C,19.525,-58.0,270.0,top
DECAP_13.C,36.525,-58.0,270.0,top
DECAP_14.C,43.525,-58.0,270.0,top
DECAP_15.C,52.525,-58.0,270.0,top
DECAP_16.C,61.525,-58.0,270.0,top
DECAP_17.C,70.525,-58.0,270.0,top
DECAP_18.C,79.525,-58.0,270.0,top
DECAP_2.C,19.525,-40.0,90.0,top
DECAP_3.C,28.525,-40.0,90.0,top
DECAP_4.C,37.525,-40.0,90.0,top
DECAP_5.C,46.525,-40.0,90.0,top
DECAP_6.C,55.525,-40.0,90.0,top
