ref,x,y
u_comp._092_,20,20
u_comp._093_,20,28
u_comp._094_,20,48
u_comp._095_,20,56
u_comp._096_,30,68
u_comp._097_,20,76
u_comp._098_,20,68
u_comp._099_,28,64
u_comp._100_,26,68
u_comp._101_,21,72
u_comp._102_,26,76
u_comp._103_,20,60
u_comp._104_,30,52
u_comp._105_,24,48
u_comp._106_,24,56
u_comp._107_,20,40
u_comp._108_,20,16
u_comp._109_,20,36
u_comp._110_,26,40
u_comp._111_,26,16
u_comp._112_,24,36
u_comp._113_,21,24
u_comp._114_,30,24
u_comp._115_,22,20
u_comp._116_,24,28
u_comp._117_,30,32
u_comp._118_,28,20
u_comp._119_,20,32
u_comp._120_,24,32
u_comp._121_,20,64
u_comp._122_,20,52
u_comp._123_,24,60
u_comp._124_,24,44
