Designator,Mid X,Mid Y,Rotation,Layer
DECAP1,8.0,-24.0,90.0,top
GENBLK2[0].U_DECAP.C,19.525,-18.0,90.0,top
GENBLK2[10].U_DECAP.C,19.525,-58.0,90.0,top
GENBLK2[11].U_DECAP.C,19.525,-62.0,270.0,top
GENBLK2[12].U_DECAP.C,19.525,-66.0,90.0,top
GENBLK2[13].U_DECAP.C,19.525,-70.0,270.0,top
GENBLK2[14].U_DECAP.C,19.525,-74.0,90.0,top
GENBLK2[15].U_DECAP.C,19.525,-78.0,270.0,top
GENBLK2[1].U_DECAP.C,19.525,-22.0,270.0,top
GENBLK2[2].U_DECAP.C,19.525,-26.0,90.0,top
GENBLK2[3].U_DECAP.C,19.525,-30.0,270.0,top
GENBLK2[4].U_DECAP.C,19.525,-34.0,90.0,top
GENBLK2[5].U_DECAP.C,19.525,-38.0,270.0,top
GENBLK2[6].U_DECAP.C,19.525,-42.0,90.0,top
GENBLK2[7].U_DECAP.C,19.525,-46.0,270.0,top
GENBLK2[8].U_DECAP.C,19.525,-50.0,90.0,top
GENBLK2[9].U_DECAP.C,19.525,-54.0,270.0,top
JP1,2.92525,-48.0,270.0,top
JP2,12.0,-48.13,0.0,top
JSUPPLY1,3.0,-25.27,0.0,top
U_COMP._092_.N1,21.0,-21.0,180.0,top
U_COMP._092_.P1,21.0,-23.0,0.0,top
U_COMP._093_.N1,21.0,-29.0,180.0,top
U_COMP._093_.P1,21.0,-31.0,0.0,top
U_COMP._094_.N1,21.0,-51.0,0.0,top
U_COMP._094_.P1,21.0,-49.0,180.0,top
U_COMP._095_.N1,21.0,-59.0,0.0,top
U_COMP._095_.P1,21.0,-57.0,180.0,top
U_COMP._096_.N1,31.0,-69.0,180.0,top
U_COMP._096_.P1,31.0,-71.0,0.0,top
U_COMP._097_.N1,21.0,-77.0,180.0,top
U_COMP._097_.N2,23.0,-77.0,180.0,top
U_COMP._097_.N3,25.0,-77.0,180.0,top
U_COMP._097_.P1,21.0,-79.0,0.0,top
U_COMP._097_.P2,23.0,-79.0,0.0,top
U_COMP._097_.P3,25.0,-79.0,0.0,top
U_COMP._098_.N1,21.0,-69.0,180.0,top
U_COMP._098_.N2,23.0,-69.0,180.0,top
U_COMP._098_.N3,25.0,-69.0,180.0,top
U_COMP._098_.P1,21.0,-71.0,0.0,top
U_COMP._098_.P2,23.0,-71.0,0.0,top
U_COMP._098_.P3,25.0,-71.0,0.0,top
U_COMP._099_.N1,29.0,-67.0,0.0,top
U_COMP._099_.N2,31.0,-67.0,0.0,top
U_COMP._099_.P1,29.0,-65.0,180.0,top
U_COMP._099_.P2,31.0,-65.0,180.0,top
U_COMP._100_.N1,27.0,-69.0,180.0,top
U_COMP._100_.N2,29.0,-69.0,180.0,top
U_COMP._100_.P1,27.0,-71.0,0.0,top
U_COMP._100_.P2,29.0,-71.0,0.0,top
U_COMP._101_.N1,22.0,-75.0,0.0,top
U_COMP._101_.N2,24.0,-75.0,0.0,top
U_COMP._101_.N3,26.0,-75.0,0.0,top
U_COMP._101_.N4,28.0,-75.0,0.0,top
U_COMP._101_.N5,30.0,-75.0,0.0,top
U_COMP._101_.P1,22.0,-73.0,180.0,top
U_COMP._101_.P2,26.0,-73.0,180.0,top
U_COMP._101_.P3,24.0,-73.0,180.0,top
U_COMP._101_.P4,28.0,-73.0,180.0,top
U_COMP._101_.P5,30.0,-73.0,180.0,top
U_COMP._102_.NAND1.N1,27.0,-77.0,180.0,top
U_COMP._102_.NAND1.N2,29.0,-77.0,180.0,top
U_COMP._102_.NAND1.N3,31.0,-77.0,180.0,top
U_COMP._102_.NAND1.P1,27.0,-79.0,0.0,top
U_COMP._102_.NAND1.P2,29.0,-79.0,0.0,top
U_COMP._102_.NAND1.P3,31.0,-79.0,0.0,top
U_COMP._102_.NOT1.N1,33.0,-77.0,180.0,top
