Designator,Mid X,Mid Y,Rotation,Layer
C1,121.5,-49.0,180.0,top
C2,118.5,-121.5,180.0,top
C3,120.8,-63.5,0.0,top
C4,120.8,-77.5,0.0,top
C5,120.8,-91.5,0.0,top
C6,120.8,-105.5,0.0,top
C7,120.8,-119.5,0.0,top
J1,119.5,-125.5,0.0,top
J10,110.73,-121.0,270.0,top
J11,110.73,-49.0,270.0,top
J2,119.5,-44.5,180.0,top
J3,104.4,-85.5,270.0,top
J4,128.27,-49.0,90.0,top
J5,134.6,-85.5,90.0,top
R1,119.5,-49.0,180.0,top
R2,117.5,-49.0,180.0,top
R3,128.5,-45.75,0.0,top
U1,119.5,-57.5,0.0,top
U2,119.5,-71.5,0.0,top
U3,119.5,-85.5,0.0,top
U4,119.5,-99.5,0.0,top
U5,119.5,-113.5,0.0,top
