transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'01,5.0,10.0,10.0,14.07598,2.128432,32.513427734375014,16.40014648437501
'10,5.0,10.0,10.0,17.448439999999998,2.2715919999999996,27.947998046875007,1.3610839843750064
'01,5.0,10.0,20.0,14.076009999999998,2.128538,33.45336914062501,15.59448242187501
'10,5.0,10.0,20.0,17.448449999999998,2.271896,28.753662109375007,0.4211425781250064
'01,5.0,10.0,40.0,14.07598,2.128432,37.07885742187501,12.640380859375007
'10,5.0,10.0,40.0,17.448439999999998,2.2715919999999996,32.37915039062501,-2.130126953124994
'01,5.0,10.0,100.0,14.075899999999999,2.1284039999999997,56.951904296875014,11.700439453125007
'10,5.0,10.0,100.0,17.44833,2.271587,51.043701171875,8.209228515625009
'01,5.0,10.0,150.0,14.07519,2.127472,73.46801757812501,24.59106445312501
'10,5.0,10.0,150.0,17.44815,2.2716689999999997,65.67993164062501,20.42846679687501
'01,5.0,20.0,10.0,17.33791,2.127239,27.27661132812501,17.340087890625007
'10,5.0,20.0,10.0,20.74525,2.271498,21.63696289062501,2.301025390625007
'01,5.0,20.0,20.0,17.337999999999997,2.1279459999999997,28.216552734375007,16.534423828125007
'10,5.0,20.0,20.0,20.74512,2.271985,22.576904296875007,1.3610839843750064
'01,5.0,20.0,40.0,17.33791,2.127239,31.842041015625007,13.580322265625007
'10,5.0,20.0,40.0,20.74525,2.271498,26.20239257812501,-1.1901855468749938
'01,5.0,20.0,100.0,17.33784,2.12721,50.90942382812501,12.774658203125007
'10,5.0,20.0,100.0,20.74515,2.271493,43.255615234375014,6.866455078125008
'01,5.0,20.0,150.0,17.337159999999997,2.1276889999999997,66.21704101562501,24.05395507812501
'10,5.0,20.0,150.0,20.745099999999997,2.2720839999999995,55.74340820312502,16.93725585937501
'01,5.0,40.0,10.0,23.07615,2.128074,19.35424804687501,20.965576171875007
'10,5.0,40.0,10.0,26.536929999999998,2.272367,12.237548828125007,5.926513671875008
'01,5.0,40.0,20.0,23.07615,2.128074,20.29418945312501,20.02563476562501
'10,5.0,40.0,20.0,26.536929999999998,2.272367,13.177490234375007,4.986572265625007
'01,5.0,40.0,40.0,23.07615,2.128074,23.78540039062501,17.20581054687501
'10,5.0,40.0,40.0,26.536929999999998,2.272367,16.802978515625007,1.7639160156250064
'01,5.0,40.0,100.0,23.076079999999997,2.1280499999999996,41.91284179687501,16.66870117187501
'10,5.0,40.0,100.0,26.536839999999998,2.2723639999999996,31.17065429687501,6.329345703125008
