transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'01,5.0,10.0,10.0,14.258759999999999,2.195339,33.31909179687501,16.13159179687501
'10,5.0,10.0,10.0,17.64752,2.316397,28.216552734375007,0.9582519531250064
'01,5.0,10.0,20.0,14.258809999999999,2.1951849999999995,34.259033203125014,15.32592773437501
'10,5.0,10.0,20.0,17.64756,2.3167,29.156494140625007,0.15258789062500633
'01,5.0,10.0,40.0,14.258759999999999,2.195339,37.884521484375014,12.371826171875007
'10,5.0,10.0,40.0,17.64752,2.316397,32.78198242187501,-1.727294921874994
'01,5.0,10.0,100.0,14.258679999999998,2.195312,58.026123046875014,12.103271484375007
'10,5.0,10.0,100.0,17.64735,2.316389,51.580810546875,9.014892578125009
'01,5.0,10.0,150.0,14.25804,2.194458,75.21362304687501,26.605224609375007
'10,5.0,10.0,150.0,17.64711,2.316599,66.485595703125,21.502685546875007
'01,5.0,20.0,10.0,17.52076,2.194169,28.08227539062501,17.071533203125007
'10,5.0,20.0,10.0,20.94683,2.3163799999999997,22.039794921875007,2.0324707031250067
'01,5.0,20.0,20.0,17.52076,2.1942749999999998,29.022216796875007,16.265869140625007
'10,5.0,20.0,20.0,20.946649999999998,2.3167969999999998,22.97973632812501,1.0925292968750067
'01,5.0,20.0,40.0,17.52076,2.194169,32.647705078125014,13.311767578125007
'10,5.0,20.0,40.0,20.94683,2.3163799999999997,26.47094726562501,-0.6530761718749937
'01,5.0,20.0,100.0,17.52068,2.194139,51.98364257812501,12.640380859375007
'10,5.0,20.0,100.0,20.946669999999997,2.316372,43.792724609375014,7.672119140625007
'01,5.0,20.0,150.0,17.519940000000002,2.1939290000000002,67.82836914062501,25.93383789062501
'10,5.0,20.0,150.0,20.94655,2.316908,56.549072265625014,18.145751953125007
'01,5.0,40.0,10.0,23.2589,2.1935670000000003,20.02563476562501,20.697021484375007
'10,5.0,40.0,10.0,26.742289999999997,2.31715,12.640380859375007,5.657958984375006
'01,5.0,40.0,20.0,23.2589,2.1935670000000003,20.965576171875007,19.89135742187501
'10,5.0,40.0,20.0,26.742289999999997,2.31715,13.580322265625007,4.718017578125007
'01,5.0,40.0,40.0,23.2589,2.1935670000000003,24.456787109375007,16.93725585937501
'10,5.0,40.0,40.0,26.742289999999997,2.31715,17.20581054687501,2.166748046875007
'01,5.0,40.0,100.0,23.258819999999996,2.193543,42.98706054687501,16.66870117187501
'10,5.0,40.0,100.0,26.74214,2.317148,31.842041015625007,7.135009765625008
'01,5.0,40.0,150.0,23.25808,2.1941849999999996,57.22045898437502,27.00805664062501
'10,5.0,40.0,150.0,26.74215,2.316799,41.77856445312501,14.923095703125007
'01,5.0,100.0,10.0,38.1067,2.197019,1.7639160156250064,37.347412109375014
'10,5.0,100.0,10.0,41.72156,2.317507,-7.904052734374995,22.17407226562501
'01,5.0,100.0,20.0,38.1067,2.197019,2.7038574218750067,36.407470703125014
'10,5.0,100.0,20.0,41.72156,2.317507,-6.964111328124994,21.234130859375007
'01,5.0,100.0,40.0,38.1067,2.197019,6.329345703125008,33.45336914062501
'10,5.0,100.0,40.0,41.72156,2.317507,-3.3386230468749942,17.608642578125007
'01,5.0,100.0,100.0,38.106629999999996,2.196991,22.97973632812501,32.78198242187501
'10,5.0,100.0,100.0,41.72142,2.317502,7.135009765625008,13.311767578125007
'01,5.0,100.0,150.0,38.105959999999996,2.196738,35.198974609375014,38.69018554687501
'10,5.0,100.0,150.0,41.721289999999996,2.317807,12.908935546875007,16.93725585937501
'01,5.0,150.0,10.0,49.26881,2.1996079999999996,-10.858154296874993,48.626708984375014
'10,5.0,150.0,10.0,52.9678,2.318345,-21.734619140625,33.31909179687501
'01,5.0,150.0,20.0,49.26881,2.1996079999999996,-9.918212890624995,47.68676757812501
'10,5.0,150.0,20.0,52.9678,2.318345,-20.794677734374996,32.37915039062501
'01,5.0,150.0,40.0,49.26881,2.1996079999999996,-6.292724609374994,44.732666015625
'10,5.0,150.0,40.0,52.9678,2.318345,-17.303466796874993,28.887939453125007
'01,5.0,150.0,100.0,49.26873,2.199582,9.552001953125009,44.06127929687501
'10,5.0,150.0,100.0,52.96767,2.318342,-8.978271484374995,21.234130859375007
'01,5.0,150.0,150.0,49.268049999999995,2.1993549999999997,20.83129882812501,49.96948242187501
'10,5.0,150.0,150.0,52.96761,2.3183409999999998,-5.084228515624994,22.845458984375007
'01,10.0,10.0,10.0,14.60092,2.5423679999999997,33.99047851562501,15.86303710937501
'10,10.0,10.0,10.0,18.02968,2.6781449999999998,28.216552734375007,0.5554199218750064
'01,10.0,10.0,20.0,14.60092,2.5425649999999997,34.93041992187501,15.05737304687501
'10,10.0,10.0,20.0,18.02974,2.678473,29.156494140625007,-0.2502441406249937
'01,10.0,10.0,40.0,14.60092,2.5423679999999997,38.421630859375014,12.103271484375007
'10,10.0,10.0,40.0,18.02968,2.6781449999999998,32.78198242187501,-1.593017578124994
'01,10.0,10.0,100.0,14.600839999999998,2.5423419999999997,58.83178710937502,13.177490234375007
'10,10.0,10.0,100.0,18.02951,2.6781369999999995,51.715087890625,9.283447265625009
'01,10.0,10.0,150.0,14.60001,2.5425869999999997,76.42211914062501,28.216552734375007
'10,10.0,10.0,150.0,18.02942,2.6787049999999994,66.75415039062501,21.90551757812501
'01,10.0,20.0,10.0,17.86253,2.541644,28.61938476562501,16.802978515625007
'10,10.0,20.0,10.0,21.328999999999997,2.6781279999999996,22.039794921875007,1.6296386718750064
'01,10.0,20.0,20.0,17.8626,2.541262,29.55932617187501,15.997314453125007
'10,10.0,20.0,20.0,21.328979999999998,2.6788389999999995,22.97973632812501,0.6896972656250063
'01,10.0,20.0,40.0,17.86253,2.541644,33.184814453125014,13.043212890625007
'10,10.0,20.0,40.0,21.328999999999997,2.6781279999999996,26.605224609375007,-0.5187988281249938
'01,10.0,20.0,100.0,17.86245,2.541616,52.789306640625014,13.714599609375007
'10,10.0,20.0,100.0,21.32884,2.67812,43.92700195312501,7.940673828125007
'01,10.0,20.0,150.0,17.86179,2.54112,69.17114257812501,27.410888671875007
'10,10.0,20.0,150.0,21.32883,2.6787159999999997,56.817626953125014,18.54858398437501
'01,10.0,40.0,10.0,23.60041,2.541339,20.42846679687501,20.42846679687501
'10,10.0,40.0,10.0,27.12464,2.679008,12.774658203125007,5.255126953125006
'01,10.0,40.0,20.0,23.60041,2.541339,21.36840820312501,19.62280273437501
'10,10.0,40.0,20.0,27.12464,2.679008,13.714599609375007,4.449462890625007
'01,10.0,40.0,40.0,23.60041,2.541339,24.993896484375007,16.66870117187501
'10,10.0,40.0,40.0,27.12464,2.679008,17.20581054687501,2.435302734375007
'01,10.0,40.0,100.0,23.600319999999996,2.54131,43.658447265625,16.40014648437501
'10,10.0,40.0,100.0,27.124489999999998,2.6790059999999998,32.110595703125014,7.537841796875007
'01,10.0,40.0,150.0,23.599629999999998,2.540946,58.428955078125014,28.485107421875007
